Top Scorers,Goals,League
Jamie Vardy,23,PL
Aubameyang,22,PL
Danny Ings,22,PL
Sterling,20,PL
Salah,19,PL
Kane,18,PL
Mane,18,PL
Jimenez,17,PL
Martial,17,PL
Rashford,17,PL
,,
,,
Top Scorers,Goals,League
Ciro Immobile,36,Seria A
Cristiano Ronaldo,31,Seria A
Romelu Lukaku,23,Seria A
Francesco Caputo,21,Seria A
Duván Zapata,18,Seria A
João Pedro,18,Seria A
Luis Muriel,18,Seria A
Edin Dzeko,16,Seria A
Andrea Belotti,16,Seria A
Josip Ilicic,15,Seria A
,,
,,
Top Scorers,Goals,League
Santi Cazorla,11,LaLiga
Raúl García,12,LaLiga
Luis Suárez,13,LaLiga
Lucas Ocampos,14,LaLiga
Lionel Messi,14,LaLiga
Karim Benzema,15,LaLiga
Iago Aspas,16,LaLiga
Gerard Moreno,18,LaLiga
Ante Budimir,21,LaLiga
Álvaro Morata,25,LaLiga
